Index,Rolling Accuracy,Rolling Precision,Rolling Recall,Rolling F1-Score
3369,0.5,1.0,0.9980276134122288,0.9990128331688055
3370,0.5,1.0,0.9980289093298291,0.999013482407103
3371,0.5,1.0,0.9980289093298291,0.999013482407103
3372,0.5,1.0,0.9980302035456337,0.9990141307919816
3373,0.5,1.0,0.9980302035456337,0.9990141307919816
3374,0.5,1.0,0.9980314960629921,0.9990147783251232
3375,0.5,1.0,0.9980314960629921,0.9990147783251232
3376,0.5,1.0,0.9980327868852459,0.9990154250082048
3377,0.5,1.0,0.9980327868852459,0.9990154250082048
3378,0.5,1.0,0.9980340760157274,0.9990160708428993
3379,0.5,1.0,0.9980340760157274,0.9990160708428993
3380,0.5,1.0,0.9980353634577603,0.9990167158308751
3381,0.5,1.0,0.9980353634577603,0.9990167158308751
3382,0.5,1.0,0.9980366492146597,0.9990173599737963
3383,0.5,1.0,0.9980366492146597,0.9990173599737963
3384,0.5,1.0,0.9980379332897319,0.9990180032733225
3385,0.5,1.0,0.9980379332897319,0.9990180032733225
3386,0.5,1.0,0.9980392156862745,0.9990186457311089
3387,0.5,1.0,0.9980392156862745,0.9990186457311089
3388,0.5,1.0,0.9980404964075767,0.9990192873488069
3389,0.5,1.0,0.9980404964075767,0.9990192873488069
3390,0.5,1.0,0.9980417754569191,0.9990199281280627
3391,0.5,1.0,0.9980417754569191,0.9990199281280627
3392,0.5,1.0,0.9980430528375733,0.9990205680705191
3393,0.5,1.0,0.9980430528375733,0.9990205680705191
3394,0.5,1.0,0.9980443285528031,0.9990212071778141
3395,0.5,1.0,0.9980443285528031,0.9990212071778141
3396,0.5,1.0,0.9980456026058632,0.9990218454515813
3397,0.5,1.0,0.9980456026058632,0.9990218454515813
3398,0.5,1.0,0.998046875,0.9990224828934506
3399,0.5,1.0,0.998046875,0.9990224828934506
3400,0.5,1.0,0.9980481457384516,0.9990231195050472
3401,0.5,1.0,0.9980481457384516,0.9990231195050472
3402,0.5,1.0,0.9980494148244473,0.9990237552879921
3403,0.5,1.0,0.9980494148244473,0.9990237552879921
3404,0.5,1.0,0.9980506822612085,0.9990243902439024
3405,0.5,1.0,0.9980506822612085,0.9990243902439024
3406,0.5,1.0,0.9980519480519481,0.9990250243743907
3407,0.5,1.0,0.9980519480519481,0.9990250243743907
3408,0.5,1.0,0.9980532121998702,0.9990256576810653
3409,0.5,1.0,0.9980532121998702,0.9990256576810653
3410,0.5,1.0,0.9980544747081712,0.9990262901655307
3411,0.5,1.0,0.9980544747081712,0.9990262901655307
3412,0.5,1.0,0.9980557355800389,0.999026921829387
3413,0.5,1.0,0.9980557355800389,0.999026921829387
3414,0.5,1.0,0.9980569948186528,0.9990275526742302
3415,0.5,1.0,0.9980569948186528,0.9990275526742302
3416,0.5,1.0,0.9980582524271845,0.9990281827016521
3417,0.5,1.0,0.9980582524271845,0.9990281827016521
3418,0.5,1.0,0.9980595084087969,0.9990288119132406
3419,0.5,1.0,0.9980595084087969,0.9990288119132406
3420,0.5,1.0,0.9980607627666451,0.999029440310579
3421,0.5,1.0,0.9980607627666451,0.999029440310579
3422,0.5,1.0,0.998062015503876,0.9990300678952473
3423,0.5,1.0,0.998062015503876,0.9990300678952473
3424,0.5,1.0,0.9980632666236281,0.9990306946688207
3425,0.5,1.0,0.9980632666236281,0.9990306946688207
3426,0.5,1.0,0.9980645161290322,0.9990313206328705
3427,0.5,1.0,0.9980645161290322,0.9990313206328705
3428,0.5,1.0,0.9980657640232108,0.9990319457889641
3429,0.5,1.0,0.9980657640232108,0.9990319457889641
3430,0.5,1.0,0.9980670103092784,0.999032570138665
3431,0.5,1.0,0.9980670103092784,0.999032570138665
3432,0.5,1.0,0.9980682549903412,0.999033193683532
3433,0.5,1.0,0.9980682549903412,0.999033193683532
3434,0.5,1.0,0.9980694980694981,0.9990338164251208
3435,0.5,1.0,0.9980694980694981,0.9990338164251208
3436,0.5,1.0,0.9980707395498393,0.9990344383649823
3437,0.5,1.0,0.9980707395498393,0.9990344383649823
3438,0.5,1.0,0.9980719794344473,0.9990350595046639
3439,0.5,1.0,0.9980719794344473,0.9990350595046639
3440,0.5,1.0,0.9980732177263969,0.9990356798457087
3441,0.5,1.0,0.9980732177263969,0.9990356798457087
3442,0.5,1.0,0.9980744544287549,0.9990362993896563
3443,0.5,1.0,0.9980744544287549,0.9990362993896563
3444,0.5,1.0,0.9980756895445798,0.9990369181380417
3445,0.5,1.0,0.9980756895445798,0.9990369181380417
3446,0.5,1.0,0.9980769230769231,0.9990375360923965
3447,0.5,1.0,0.9980769230769231,0.9990375360923965
3448,0.5,1.0,0.9980781550288277,0.9990381532542482
3449,0.5,1.0,0.9980781550288277,0.9990381532542482
3450,0.5,1.0,0.9980793854033291,0.9990387696251202
3451,0.5,1.0,0.9980793854033291,0.9990387696251202
3452,0.5,1.0,0.9980806142034548,0.9990393852065321
3453,0.5,1.0,0.9980806142034548,0.9990393852065321
3454,0.5,1.0,0.9980818414322251,0.99904
3455,0.5,1.0,0.9980818414322251,0.99904
3456,0.5,1.0,0.9980830670926517,0.9990406140070355
3457,0.5,1.0,0.9980830670926517,0.9990406140070355
3458,0.5,1.0,0.9980842911877394,0.9990412272291467
3459,0.5,1.0,0.9980842911877394,0.9990412272291467
3460,0.5,1.0,0.998085513720485,0.9990418396678378
3461,0.5,1.0,0.998085513720485,0.9990418396678378
3462,0.5,1.0,0.9980867346938775,0.999042451324609
3463,0.5,1.0,0.9980867346938775,0.999042451324609
3464,0.5,1.0,0.9980879541108987,0.999043062200957
3465,0.5,1.0,0.9980879541108987,0.999043062200957
3466,0.5,1.0,0.9980891719745223,0.9990436722983742
3467,0.5,1.0,0.9980891719745223,0.9990436722983742
3468,0.5,1.0,0.9980903882877148,0.9990442816183498
3469,0.5,1.0,0.9980903882877148,0.9990442816183498
3470,0.5,1.0,0.9980916030534351,0.9990448901623686
3471,0.5,1.0,0.9980916030534351,0.9990448901623686
3472,0.5,1.0,0.9980928162746344,0.9990454979319122
3473,0.5,1.0,0.9980928162746344,0.9990454979319122
3474,0.5,1.0,0.9980940279542567,0.9990461049284579
3475,0.5,1.0,0.9980940279542567,0.9990461049284579
3476,0.5,1.0,0.9980952380952381,0.9990467111534795
3477,0.5,1.0,0.9980952380952381,0.9990467111534795
3478,0.5,1.0,0.9980964467005076,0.9990473166084471
3479,0.5,1.0,0.9980964467005076,0.9990473166084471
3480,0.5,1.0,0.9980976537729866,0.999047921294827
3481,0.5,1.0,0.9980976537729866,0.999047921294827
3482,0.5,1.0,0.9980988593155894,0.9990485252140818
3483,0.5,1.0,0.9980988593155894,0.9990485252140818
3484,0.5,1.0,0.9981000633312223,0.9990491283676703
3485,0.5,1.0,0.9981000633312223,0.9990491283676703
3486,0.5,1.0,0.9981012658227848,0.9990497307570478
3487,0.5,1.0,0.9981012658227848,0.9990497307570478
